date;time;tripId;shortName;lineName;stopName;plannedArrival;actualArrival;delayMin
2025-06-22;2226;VHJpcDoxOjI1MjEzMjU0;3278  személyvonat;S76;Óbuda;22:25;22:26;1
2025-06-22;2226;VHJpcDoxOjI0NDQxNDU4;3548  személyvonat;G43;Velence;22:21;22:26;5
2025-06-22;2226;VHJpcDoxOjI1MTYyODA0;9531  személyvonat;Sz 9530/9531;Türje;22:22;22:26;5
2025-06-22;2226;VHJpcDoxOjI0NjY4NDE1;9948  személyvonat;Sz 9910/9915/9918/9920/9921/9923/9924/9925/9927/9930/9931/9932/9936/9941/9943/9948;Csorna;22:19;22:26;8
2025-06-22;2226;VHJpcDoxOjIwOTQ1NDM1;35428  személyvonat;Sz 35410/35411/35412/35415/35418/35419/35427/35428;Szendrő;22:22;22:25;4
2025-06-22;2226;VHJpcDoxOjIwOTQzMTAz;19741 KATICA InterRégió;IR DÉLI -> PARTI/DÉLI <- PARTI/KATICA;Polgárdi-Ipartelepek;22:14;22:26;13
2025-06-22;2226;VHJpcDoxOjI1MjUwMzUzLjIyNDM1OTA3;2931  személyvonat;S21;Kőbánya-Kispest;22:50;21:21;0
2025-06-22;2226;VHJpcDoxOjI1MDA2ODQ4;2541  személyvonat;S71;Fótújfalu;22:25;22:25;1
2025-06-22;2226;VHJpcDoxOjIwOTQzMDA5;5128  személyvonat;Sz 15121/15130/5110/5111/5120/5123/5128/5129/5140/5158;Mezőzombor;22:20;22:25;5
2025-06-22;2226;VHJpcDoxOjIwOTQ1NTQw;8561  személyvonat;Sz 8561/8569;Zákány;22:38;21:47;0
2025-06-22;2226;VHJpcDoxOjI0Njc0NTky;7441  személyvonat;Sz 7441/7443;Tiszatenyő;22:26;22:26;1
2025-06-22;2226;VHJpcDoxOjI1NDczOTM0;19638  személyvonat;Sz 19638;Tapolca;22:21;22:22;1
2025-06-22;2226;VHJpcDoxOjIwOTQ0MjY4;9648  személyvonat;Sz 9639/9648;Alsógyenes;22:23;22:26;3
2025-06-22;2226;VHJpcDoxOjIwOTQ0MDkw;8218  személyvonat;Sz 8201/8202/8204/8205/8206/8207/8208/8210/8212/8213/8217/8218/8219/8222/8225/8236;Szenta;22:12;22:26;15
2025-06-22;2226;VHJpcDoxOjI0OTAyNzk4;366 HARGITA InterCity;IC CORONA/HARGITA;Budapest-Keleti;23:00;22:15;0
2025-06-22;2226;VHJpcDoxOjI1MTU5NTg5;3251  személyvonat;S76;Szélhegy;22:26;22:26;1
2025-06-22;2226;VHJpcDoxOjI0Njc0NzIy;8208  személyvonat;Sz 8201/8202/8204/8205/8206/8207/8208/8210/8212/8213/8217/8218/8219/8222/8225/8236;Nagyberki;22:13;22:26;14
2025-06-22;2226;VHJpcDoxOjI0NjY4NTAy;3341  személyvonat;S60;Sülysáp;22:09;22:20;11
2025-06-22;2226;VHJpcDoxOjIwOTQ0ODQy;38318  személyvonat;Sz 38318/38319;Kapoly;22:25;22:26;2
2025-06-22;2226;VHJpcDoxOjI1MjU0Nzg3;4931  személyvonat;S10;Budapest-Kelenföld;22:24;22:23;0
2025-06-22;2226;VHJpcDoxOjIwOTQ2ODM0;3618  személyvonat;S60;Kőbánya felső;22:25;22:26;2
2025-06-22;2226;VHJpcDoxOjIwOTQ0NDU3;9238  személyvonat;Sz 19261/9210/9211/9212/9213/9214/9215/9216/9217/9218/9219/9221/9222/9223/9224/9225/9226/9227/9229/9236/9238/9239/9248;Pápa;22:00;22:01;1
2025-06-22;2226;VHJpcDoxOjIwOTQ0NjQx;19761  személyvonat;Sz 19701/19761;Zánka-Köveskál;22:25;22:25;0
2025-06-22;2226;VHJpcDoxOjIwOTQ1MTM2;18511 DÉLI <- PARTI InterRégió;IR DÉLI -> PARTI/DÉLI <- PARTI/KATICA;Balatonaliga;22:18;22:26;9
2025-06-22;2226;VHJpcDoxOjIzNzY4MDI5;5831  személyvonat;Sz 5810/5811/5812/5813/5814/5815/5816/5818/5819/5820/5821/5822/5823/5824/5825/5826/5827/5828/5829/5831/5832/5833/5834/5835/5836/5837/5838/5839/5843/5846/5847/5848;Salgótarján;22:25;22:26;1
2025-06-22;2226;VHJpcDoxOjIwOTQ1NTIz;18521 BAGOLYVONAT személyvonat;Sz BAGOLYVONAT;Máriahullámtelep;22:15;22:26;11
2025-06-22;2226;VHJpcDoxOjIwOTQ1MTA0;5328  személyvonat;Sz 5312/5315/5317/5319/5320/5321/5323/5326/5327/5328/5329/5330/5331/5332/5333/5334/5335/5338/5342/5344/5345/5346/5348;Szikszó;22:26;22:26;1
2025-06-22;2226;VHJpcDoxOjIwOTQzNzUy;19721 VÍZIPÓK sebesvonat;S VÍZIPÓK;Budapest-Kelenföld;22:21;22:25;4
2025-06-22;2226;VHJpcDoxOjIwOTQzOTc5;19791  sebesvonat;S VÍZIPÓK;Káptalanfüred;22:25;22:26;2
